commodity,arrival_date,variety,state,district,min_price,max_price,avg_price
Brinjal,31-08-2024,Brinjal,Karnataka,Chikmagalur,2000,3000,2500
Brinjal,14-08-2024,Brinjal,Karnataka,Chikmagalur,1500,2500,2000
Brinjal,12-08-2024,Brinjal,Karnataka,Chikmagalur,1600,2400,2200
Brinjal,01-08-2024,Brinjal,Karnataka,Chikmagalur,2000,3000,2500
Brinjal,23-05-2024,Brinjal,Karnataka,Chikmagalur,2500,3500,3000
Brinjal,04-05-2024,Brinjal,Karnataka,Chikmagalur,2083,2083,2083
Brinjal,16-04-2024,Brinjal,Karnataka,Chikmagalur,2000,3500,2600
Brinjal,16-04-2024,Brinjal,Karnataka,Chikmagalur,2000,3500,2600
Brinjal,04-04-2024,Brinjal,Karnataka,Chikmagalur,2000,3000,2500
Brinjal,27-03-2024,Brinjal,Karnataka,Chikmagalur,2000,3000,2400
Brinjal,04-09-2024,Brinjal,Karnataka,Shimoga,2400,2600,2500
Brinjal,03-09-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,02-09-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,30-08-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,29-08-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,27-08-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,26-08-2024,Brinjal,Karnataka,Shimoga,2400,2600,2500
Brinjal,23-08-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,22-08-2024,Brinjal,Karnataka,Shimoga,2400,2600,2500
Brinjal,20-08-2024,Brinjal,Karnataka,Shimoga,2200,2400,2300
Brinjal,19-08-2024,Brinjal,Karnataka,Shimoga,2200,2400,2300
Brinjal,16-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,14-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,13-08-2024,Brinjal,Karnataka,Shimoga,3400,3600,3500
Brinjal,12-08-2024,Brinjal,Karnataka,Shimoga,3800,4000,3900
Brinjal,09-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,08-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,07-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,06-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,05-08-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,01-08-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,31-07-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,30-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,29-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,26-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,25-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,24-07-2024,Brinjal,Karnataka,Shimoga,2400,2600,2500
Brinjal,23-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,22-07-2024,Brinjal,Karnataka,Shimoga,2400,2600,2500
Brinjal,19-07-2024,Brinjal,Karnataka,Shimoga,2400,2600,2500
Brinjal,18-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,16-07-2024,Brinjal,Karnataka,Shimoga,2800,3000,2900
Brinjal,15-07-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,12-07-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,11-07-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,10-07-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,05-07-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,03-07-2024,Brinjal,Karnataka,Shimoga,2200,2600,2400
Brinjal,01-07-2024,Brinjal,Karnataka,Shimoga,2000,2600,2300
Brinjal,27-06-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,26-06-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,25-06-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,24-06-2024,Brinjal,Karnataka,Shimoga,2000,2600,2300
Brinjal,14-06-2024,Brinjal,Karnataka,Shimoga,1200,2400,1700
Brinjal,13-06-2024,Brinjal,Karnataka,Shimoga,2000,2600,2300
Brinjal,12-06-2024,Brinjal,Karnataka,Shimoga,2200,2600,2400
Brinjal,11-06-2024,Brinjal,Karnataka,Shimoga,2600,3000,2800
Brinjal,06-06-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,05-06-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,04-06-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,03-06-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,31-05-2024,Brinjal,Karnataka,Shimoga,1200,1600,1400
Brinjal,30-05-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,29-05-2024,Brinjal,Karnataka,Shimoga,1200,1600,1400
Brinjal,28-05-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,27-05-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,24-05-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,23-05-2024,Brinjal,Karnataka,Shimoga,1600,2000,1800
Brinjal,22-05-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,16-05-2024,Brinjal,Karnataka,Shimoga,2400,2800,2600
Brinjal,15-05-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,14-05-2024,Brinjal,Karnataka,Shimoga,2000,2400,2200
Brinjal,29-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,17-04-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,17-04-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,16-04-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,15-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,15-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,08-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,05-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,04-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,04-04-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,03-04-2024,Brinjal,Karnataka,Shimoga,1000,1200,1100
Brinjal,02-04-2024,Brinjal,Karnataka,Shimoga,1000,1200,1100
Brinjal,01-04-2024,Brinjal,Karnataka,Shimoga,800,1000,900
Brinjal,30-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,28-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,27-03-2024,Brinjal,Karnataka,Shimoga,1800,2000,1900
Brinjal,26-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,25-03-2024,Brinjal,Karnataka,Shimoga,800,1000,900
Brinjal,22-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,21-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
Brinjal,20-03-2024,Brinjal,Karnataka,Shimoga,1400,1600,1500
